History
"[15, 1, 14, 2, 15, 1, 14, 2, 15, 1, 16, 2, 17, 3, 7]"
"[15, 1, 25, 3, 15, 1, 16, 2, 26, 0, 16, 2, 17, 3, 7]"
"[15, 1, 25, 3, 15, 1, 14, 2, 15, 1, 16, 2, 17, 3, 7]"
"[24, 3, 23, 2, 24, 3, 14, 2, 15, 1, 16, 2, 17, 3, 7]"
"[15, 1, 25, 3, 24, 3, 14, 2, 15, 1, 16, 2, 17, 3, 7]"
"[24, 3, 25, 3, 15, 1, 14, 2, 15, 1, 16, 2, 17, 3, 7]"
"[15, 1, 25, 3, 15, 1, 25, 3, 15, 1, 16, 2, 17, 3, 7]"
"[15, 1, 25, 3, 15, 1, 25, 3, 15, 1, 16, 2, 17, 3, 7]"
"[17, 3, 16, 2, 17, 3, 16, 2, 26, 0, 16, 2, 17, 3, 7]"
"[24, 3, 23, 2, 24, 3, 14, 2, 15, 1, 16, 2, 17, 3, 7]"
"[24, 3, 14, 2, 15, 1, 14, 2, 15, 1, 16, 2, 17, 3, 7]"
"[24, 3, 14, 2, 15, 1, 25, 3, 26, 0, 16, 2, 17, 3, 7]"
"[15, 1, 16, 2, 17, 3, 16, 2, 17, 3, 18, 0, 17, 3, 7]"
"[15, 1, 16, 2, 26, 0, 16, 2, 17, 3, 16, 2, 17, 3, 7]"
"[4, 1, 14, 2, 15, 1, 25, 3, 15, 1, 16, 2, 17, 3, 7]"
"[15, 1, 16, 2, 17, 3, 18, 0, 17, 3, 16, 2, 17, 3, 7]"
"[24, 3, 14, 2, 15, 1, 25, 3, 15, 1, 16, 2, 17, 3, 7]"
"[24, 3, 25, 3, 26, 0, 36, 3, 26, 0, 16, 2, 17, 3, 7]"
"[24, 3, 14, 2, 24, 3, 14, 2, 15, 1, 16, 2, 17, 3, 7]"
"[24, 3, 14, 2, 24, 3, 25, 3, 26, 0, 16, 2, 17, 3, 7]"
"[33, 0, 23, 2, 24, 3, 14, 2, 15, 1, 16, 2, 17, 3, 7]"
"[22, 2, 23, 2, 24, 3, 14, 2, 15, 1, 16, 2, 17, 3, 7]"
"[24, 3, 14, 2, 15, 1, 16, 2, 17, 3, 16, 2, 17, 3, 7]"
"[24, 3, 25, 3, 15, 1, 25, 3, 26, 0, 16, 2, 17, 3, 7]"
"[26, 0, 16, 2, 17, 3, 16, 2, 26, 0, 16, 2, 17, 3, 7]"
"[15, 1, 16, 2, 26, 0, 16, 2, 17, 3, 18, 0, 17, 3, 7]"
"[22, 2, 23, 2, 24, 3, 25, 3, 26, 0, 16, 2, 17, 3, 7]"
"[15, 1, 14, 2, 15, 1, 16, 2, 17, 3, 16, 2, 17, 3, 7]"
"[26, 0, 25, 3, 26, 0, 25, 3, 15, 1, 16, 2, 17, 3, 7]"
"[24, 3, 14, 2, 15, 1, 16, 2, 17, 3, 18, 0, 17, 3, 7]"
"[4, 1, 14, 2, 24, 3, 14, 2, 15, 1, 16, 2, 17, 3, 7]"
"[24, 3, 14, 2, 15, 1, 25, 3, 15, 1, 16, 2, 17, 3, 7]"
"[15, 1, 25, 3, 24, 3, 14, 2, 15, 1, 16, 2, 17, 3, 7]"
"[15, 1, 16, 2, 26, 0, 36, 3, 26, 0, 16, 2, 17, 3, 7]"
"[15, 1, 25, 3, 15, 1, 25, 3, 15, 1, 16, 2, 17, 3, 7]"
"[26, 0, 25, 3, 26, 0, 25, 3, 26, 0, 16, 2, 17, 3, 7]"
"[22, 2, 23, 2, 24, 3, 25, 3, 15, 1, 16, 2, 17, 3, 7]"
"[4, 1, 14, 2, 15, 1, 14, 2, 15, 1, 16, 2, 17, 3, 7]"
"[26, 0, 25, 3, 15, 1, 14, 2, 15, 1, 16, 2, 17, 3, 7]"
"[15, 1, 16, 2, 17, 3, 18, 0, 17, 3, 18, 0, 17, 3, 7]"
"[26, 0, 25, 3, 15, 1, 25, 3, 26, 0, 16, 2, 17, 3, 7]"
"[24, 3, 14, 2, 15, 1, 14, 2, 15, 1, 16, 2, 17, 3, 7]"
"[15, 1, 25, 3, 15, 1, 25, 3, 26, 0, 16, 2, 17, 3, 7]"
"[24, 3, 14, 2, 15, 1, 25, 3, 26, 0, 16, 2, 17, 3, 7]"
"[15, 1, 25, 3, 24, 3, 14, 2, 15, 1, 16, 2, 17, 3, 7]"
"[24, 3, 23, 2, 24, 3, 14, 2, 15, 1, 16, 2, 17, 3, 7]"
"[26, 0, 16, 2, 17, 3, 16, 2, 26, 0, 16, 2, 17, 3, 7]"
"[15, 1, 25, 3, 26, 0, 25, 3, 26, 0, 16, 2, 17, 3, 7]"
"[24, 3, 25, 3, 26, 0, 25, 3, 15, 1, 16, 2, 17, 3, 7]"
"[15, 1, 14, 2, 15, 1, 16, 2, 17, 3, 18, 0, 17, 3, 7]"
"[15, 1, 16, 2, 26, 0, 25, 3, 26, 0, 16, 2, 17, 3, 7]"
"[24, 3, 14, 2, 4, 1, 14, 2, 15, 1, 16, 2, 17, 3, 7]"
"[15, 1, 16, 2, 26, 0, 25, 3, 15, 1, 16, 2, 17, 3, 7]"
"[15, 1, 25, 3, 15, 1, 16, 2, 17, 3, 16, 2, 17, 3, 7]"
"[22, 2, 23, 2, 24, 3, 14, 2, 15, 1, 16, 2, 17, 3, 7]"
"[15, 1, 16, 2, 26, 0, 25, 3, 15, 1, 16, 2, 17, 3, 7]"
"[15, 1, 25, 3, 15, 1, 14, 2, 15, 1, 16, 2, 17, 3, 7]"
"[22, 2, 23, 2, 24, 3, 25, 3, 15, 1, 16, 2, 17, 3, 7]"
"[15, 1, 25, 3, 15, 1, 25, 3, 26, 0, 16, 2, 17, 3, 7]"
"[24, 3, 14, 2, 15, 1, 14, 2, 15, 1, 16, 2, 17, 3, 7]"
"[24, 3, 14, 2, 15, 1, 25, 3, 15, 1, 16, 2, 17, 3, 7]"
"[15, 1, 16, 2, 17, 3, 16, 2, 17, 3, 16, 2, 17, 3, 7]"
"[15, 1, 25, 3, 26, 0, 36, 3, 26, 0, 16, 2, 17, 3, 7]"
"[22, 2, 23, 2, 24, 3, 14, 2, 15, 1, 16, 2, 17, 3, 7]"
"[22, 2, 23, 2, 24, 3, 25, 3, 15, 1, 16, 2, 17, 3, 7]"
"[15, 1, 16, 2, 17, 3, 16, 2, 17, 3, 18, 0, 17, 3, 7]"
"[15, 1, 25, 3, 15, 1, 16, 2, 17, 3, 16, 2, 17, 3, 7]"
"[26, 0, 25, 3, 15, 1, 25, 3, 26, 0, 16, 2, 17, 3, 7]"
"[15, 1, 25, 3, 24, 3, 25, 3, 26, 0, 16, 2, 17, 3, 7]"
"[22, 2, 23, 2, 24, 3, 14, 2, 15, 1, 16, 2, 17, 3, 7]"
"[4, 1, 14, 2, 15, 1, 25, 3, 15, 1, 16, 2, 17, 3, 7]"
"[26, 0, 25, 3, 15, 1, 16, 2, 17, 3, 18, 0, 17, 3, 7]"
"[15, 1, 14, 2, 24, 3, 14, 2, 15, 1, 16, 2, 17, 3, 7]"
"[24, 3, 14, 2, 15, 1, 16, 2, 17, 3, 18, 0, 17, 3, 7]"
"[15, 1, 16, 2, 17, 3, 16, 2, 17, 3, 16, 2, 17, 3, 7]"
"[24, 3, 14, 2, 15, 1, 16, 2, 17, 3, 18, 0, 17, 3, 7]"
"[24, 3, 14, 2, 15, 1, 16, 2, 17, 3, 16, 2, 17, 3, 7]"
"[15, 1, 25, 3, 15, 1, 25, 3, 15, 1, 16, 2, 17, 3, 7]"
