History
"[70, 3, 71, 1, 72, 2, 62, 1, 61]"
"[51, 3, 41, 3, 31, 2, 32, 3, 22, 2, 23, 2, 13]"
"[73, 3, 63, 2, 64, 0, 63, 2, 53, 0, 43, 3, 42]"
"[50, 3, 51, 3, 50, 3, 40, 1, 41, 3, 31, 2, 21]"
"[63, 2, 64, 0, 63, 2, 73, 3, 63, 2, 53, 0, 52]"
"[60, 0, 60, 0, 60, 0, 60, 0, 50, 3, 51, 3, 52]"
"[60, 0, 60, 0, 50, 3, 51, 3, 50, 3, 51, 3, 52]"
"[11, 2, 12, 1, 22, 2, 32, 3, 33, 0, 43, 3, 44]"
"[15, 1, 25, 3, 15, 1, 25, 3, 26, 0, 16, 2, 6]"
"[50, 3, 51, 3, 41, 3, 40, 1, 41, 3, 31, 2, 21]"
"[70, 3, 60, 0, 50, 3, 51, 3, 52]"
"[60, 0, 60, 0, 50, 3, 40, 1, 41, 3, 31, 2, 21]"
"[60, 0, 60, 0, 50, 3, 51, 3, 50, 3, 51, 3, 52]"
"[41, 3, 31, 2, 32, 3, 31, 2, 32, 3, 31, 2, 21]"
"[15, 1, 25, 3, 15, 1, 16, 2, 17, 3, 18, 0, 8]"
"[40, 1, 40, 1, 50, 3, 50, 3, 50, 3, 51, 3, 52]"
"[33, 0, 32, 3, 31, 2, 32, 3, 22, 2, 23, 2, 13]"
"[31, 2, 32, 3, 22, 2, 12, 1, 22, 2, 12, 1, 13]"
"[60, 0, 50, 3, 40, 1, 40, 1, 50, 3, 51, 3, 52]"
"[40, 1, 50, 3, 40, 1, 50, 3, 40, 1, 41, 3, 42]"
"[64, 0, 74, 0, 73, 3, 63, 2, 53, 0, 43, 3, 44]"
"[40, 1, 40, 1, 40, 1, 40, 1, 50, 3, 51, 3, 52]"
"[60, 0, 60, 0, 50, 3, 51, 3, 41, 3, 31, 2, 21]"
"[31, 2, 32, 3, 22, 2, 32, 3, 22, 2, 23, 2, 13]"
"[33, 0, 43, 3, 33, 0, 32, 3, 22, 2, 23, 2, 13]"
"[40, 1, 41, 3, 31, 2, 32, 3, 22, 2, 23, 2, 13]"
"[15, 1, 16, 2, 17, 3, 16, 2, 17, 3, 16, 2, 6]"
"[50, 3, 50, 3, 50, 3, 51, 3, 41, 3, 31, 2, 21]"
"[26, 0, 25, 3, 15, 1, 16, 2, 17, 3, 18, 0, 28]"
"[41, 3, 40, 1, 50, 3, 40, 1, 50, 3, 51, 3, 52]"
"[40, 1, 40, 1, 50, 3, 51, 3, 41, 3, 31, 2, 21]"
"[60, 0, 60, 0, 50, 3, 40, 1, 50, 3, 51, 3, 52]"
"[24, 3, 23, 2, 24, 3, 14, 2, 24, 3, 23, 2, 13]"
"[31, 2, 32, 3, 22, 2, 32, 3, 22, 2, 12, 1, 13]"
"[50, 3, 50, 3, 50, 3, 40, 1, 50, 3, 51, 3, 52]"
"[81, 0, 71, 1, 72, 2, 73, 3, 72, 2, 62, 1, 61]"
"[40, 1, 50, 3, 40, 1, 41, 3, 31, 2, 41, 3, 42]"
"[24, 3, 25, 3, 15, 1, 25, 3, 15, 1, 16, 2, 6]"
"[70, 3, 71, 1, 70, 3, 71, 1, 72, 2, 62, 1, 61]"
"[50, 3, 40, 1, 40, 1, 50, 3, 51, 3, 41, 3, 42]"
"[26, 0, 36, 3, 26, 0, 36, 3, 26, 0, 16, 2, 6]"
"[50, 3, 51, 3, 41, 3, 40, 1, 41, 3, 31, 2, 21]"
"[70, 3, 60, 0, 60, 0, 50, 3, 51, 3, 52]"
"[22, 2, 32, 3, 22, 2, 12, 1, 22, 2, 12, 1, 13]"
"[40, 1, 40, 1, 50, 3, 40, 1, 41, 3, 31, 2, 21]"
"[50, 3, 51, 3, 50, 3, 51, 3, 41, 3, 31, 2, 21]"
"[50, 3, 40, 1, 40, 1, 40, 1, 50, 3, 51, 3, 52]"
"[40, 1, 41, 3, 40, 1, 50, 3, 51, 3, 41, 3, 42]"
