History
"[50, 3, 40, 1, 50, 3, 51, 3, 41, 3, 42]"
"[40, 1, 50, 3, 40, 1, 40, 1, 41, 3, 42]"
"[23, 2, 24, 3, 14, 2, 15, 1, 16, 2, 6]"
"[12, 1, 22, 2, 12, 1, 22, 2, 23, 2, 13]"
"[31, 2, 32, 3, 22, 2, 32, 3, 31, 2, 21]"
"[41, 3, 31, 2, 32, 3, 22, 2, 12, 1, 13]"
"[50, 3, 40, 1, 50, 3, 51, 3, 41, 3, 42]"
"[63, 2, 64, 0, 54, 1, 64, 0, 74, 0, 84]"
"[40, 1, 50, 3, 50, 3, 51, 3, 41, 3, 42]"
"[60, 0, 50, 3, 51, 3, 41, 3, 31, 2, 21]"
"[40, 1, 41, 3, 31, 2, 41, 3, 31, 2, 21]"
"[70, 3, 71, 1, 72, 2, 73, 3, 74, 0, 84]"
"[50, 3, 50, 3, 40, 1, 41, 3, 31, 2, 21]"
"[51, 3, 50, 3, 40, 1, 50, 3, 51, 3, 52]"
"[50, 3, 40, 1, 41, 3, 31, 2, 41, 3, 42]"
"[70, 3, 60, 0, 50, 3, 51, 3, 41, 3, 42]"
"[50, 3, 51, 3, 50, 3, 40, 1, 41, 3, 42]"
"[40, 1, 50, 3, 51, 3, 41, 3, 31, 2, 21]"
"[40, 1, 50, 3, 50, 3, 51, 3, 41, 3, 42]"
"[41, 3, 31, 2, 32, 3, 22, 2, 23, 2, 13]"
"[40, 1, 41, 3, 40, 1, 50, 3, 51, 3, 52]"
"[31, 2, 41, 3, 31, 2, 32, 3, 31, 2, 21]"
"[60, 0, 60, 0, 50, 3, 51, 3, 41, 3, 42]"
"[41, 3, 31, 2, 32, 3, 22, 2, 23, 2, 13]"
"[25, 3, 15, 1, 14, 2, 15, 1, 16, 2, 6]"
"[15, 1, 14, 2, 15, 1, 14, 2, 4, 1, 5]"
"[25, 3, 26, 0, 25, 3, 24, 3, 23, 2, 13]"
"[64, 0, 54, 1, 64, 0, 63, 2, 53, 0, 52]"
"[43, 3, 33, 0, 32, 3, 22, 2, 12, 1, 13]"
"[50, 3, 40, 1, 50, 3, 51, 3, 41, 3, 42]"
"[60, 0, 60, 0, 50, 3, 40, 1, 41, 3, 42]"
"[31, 2, 32, 3, 33, 0, 32, 3, 31, 2, 21]"
"[70, 3, 60, 0, 50, 3, 51, 3, 41, 3, 42]"
"[41, 3, 31, 2, 32, 3, 22, 2, 23, 2, 13]"
"[80, 3, 70, 3, 60, 0, 50, 3, 51, 3, 52]"
"[70, 3, 60, 0, 50, 3, 50, 3, 51, 3, 52]"
"[40, 1, 50, 3, 40, 1, 41, 3, 31, 2, 21]"
"[41, 3, 31, 2, 32, 3, 22, 2, 23, 2, 13]"
