History
"[32, 3, 31, 2, 32, 3, 22, 2, 23, 2, 33, 0, 23, 2, 24]"
"[31, 2, 32, 3, 22, 2, 23, 2, 33, 0, 23, 2, 24, 3, 14]"
"[32, 3, 22, 2, 23, 2, 33, 0, 23, 2, 24, 3, 14, 2, 15]"
"[22, 2, 23, 2, 33, 0, 23, 2, 24, 3, 14, 2, 15, 1, 25]"
"[23, 2, 33, 0, 23, 2, 24, 3, 14, 2, 15, 1, 25, 3, 15]"
"[33, 0, 23, 2, 24, 3, 14, 2, 15, 1, 25, 3, 15, 1, 25]"
"[23, 2, 24, 3, 14, 2, 15, 1, 25, 3, 15, 1, 25, 3, 15]"
"[24, 3, 14, 2, 15, 1, 25, 3, 15, 1, 25, 3, 15, 1, 14]"
"[14, 2, 15, 1, 25, 3, 15, 1, 25, 3, 15, 1, 14, 2, 24]"
"[15, 1, 25, 3, 15, 1, 25, 3, 15, 1, 14, 2, 24, 3, 14]"
"[25, 3, 15, 1, 25, 3, 15, 1, 14, 2, 24, 3, 14, 2, 15]"
"[15, 1, 25, 3, 15, 1, 14, 2, 24, 3, 14, 2, 15, 1, 14]"
"[25, 3, 15, 1, 14, 2, 24, 3, 14, 2, 15, 1, 14, 2, 15]"
"[15, 1, 14, 2, 24, 3, 14, 2, 15, 1, 14, 2, 15, 1, 25]"
"[14, 2, 24, 3, 14, 2, 15, 1, 14, 2, 15, 1, 25, 3, 26]"
"[24, 3, 14, 2, 15, 1, 14, 2, 15, 1, 25, 3, 26, 0, 16]"
"[50, 3, 40, 1, 41, 3, 31, 2, 32, 3, 22, 2, 23, 2, 24]"
"[40, 1, 41, 3, 31, 2, 32, 3, 22, 2, 23, 2, 24, 3, 14]"
"[50, 3, 51, 3, 41, 3, 31, 2, 32, 3, 22, 2, 23, 2, 24]"
"[51, 3, 41, 3, 31, 2, 32, 3, 22, 2, 23, 2, 24, 3, 25]"
"[41, 3, 31, 2, 32, 3, 22, 2, 23, 2, 24, 3, 25, 3, 24]"
"[31, 2, 32, 3, 22, 2, 23, 2, 24, 3, 25, 3, 24, 3, 14]"
"[32, 3, 22, 2, 23, 2, 24, 3, 25, 3, 24, 3, 14, 2, 15]"
"[22, 2, 23, 2, 24, 3, 25, 3, 24, 3, 14, 2, 15, 1, 25]"
"[23, 2, 24, 3, 25, 3, 24, 3, 14, 2, 15, 1, 25, 3, 15]"
"[24, 3, 25, 3, 24, 3, 14, 2, 15, 1, 25, 3, 15, 1, 25]"
"[25, 3, 24, 3, 14, 2, 15, 1, 25, 3, 15, 1, 25, 3, 15]"
"[24, 3, 14, 2, 15, 1, 25, 3, 15, 1, 25, 3, 15, 1, 16]"
"[15, 1, 25, 3, 15, 1, 25, 3, 15, 1, 16, 2, 17, 3, 16]"
"[41, 3, 31, 2, 32, 3, 22, 2, 23, 2, 33, 0, 23, 2, 24]"
"[31, 2, 32, 3, 22, 2, 23, 2, 33, 0, 23, 2, 24, 3, 14]"
"[32, 3, 22, 2, 23, 2, 33, 0, 23, 2, 24, 3, 14, 2, 15]"
"[22, 2, 23, 2, 33, 0, 23, 2, 24, 3, 14, 2, 15, 1, 14]"
"[23, 2, 33, 0, 23, 2, 24, 3, 14, 2, 15, 1, 14, 2, 15]"
"[33, 0, 23, 2, 24, 3, 14, 2, 15, 1, 14, 2, 15, 1, 14]"
"[23, 2, 24, 3, 14, 2, 15, 1, 14, 2, 15, 1, 14, 2, 15]"
"[24, 3, 14, 2, 15, 1, 14, 2, 15, 1, 14, 2, 15, 1, 25]"
"[14, 2, 15, 1, 14, 2, 15, 1, 14, 2, 15, 1, 25, 3, 15]"
"[15, 1, 14, 2, 15, 1, 14, 2, 15, 1, 25, 3, 15, 1, 25]"
"[14, 2, 15, 1, 14, 2, 15, 1, 25, 3, 15, 1, 25, 3, 15]"
"[15, 1, 14, 2, 15, 1, 25, 3, 15, 1, 25, 3, 15, 1, 25]"
